Filename,Frame count,FPS: 25
2024-07-02 13:27:30.878065.h264,30009
2024-07-02 13:47:31.217075.h264,30009
2024-07-02 14:07:31.500665.h264,30008
2024-07-02 14:27:31.743531.h264,30009
2024-07-02 14:47:31.987688.h264,30009
2024-07-02 15:07:32.270698.h264,30011
2024-07-02 15:27:32.630435.h264,30008
2024-07-02 15:47:32.870428.h264,30010
2024-07-02 16:07:33.195397.h264,30010
2024-07-02 16:27:33.537600.h264,30010
2024-07-02 16:47:33.894647.h264,30010
2024-07-02 17:07:34.251217.h264,30008
2024-07-02 17:27:34.529498.h264,30010
2024-07-02 17:47:34.887998.h264,30007
2024-07-02 18:07:35.125256.h264,30010
2024-07-02 18:27:35.484691.h264,30010
2024-07-02 18:47:35.842899.h264,30009
2024-07-02 19:07:36.158837.h264,30010
2024-07-02 19:27:36.517559.h264,30010
2024-07-02 19:47:36.876248.h264,30010
2024-07-02 20:07:37.233885.h264,30008
2024-07-02 20:27:37.511007.h264,30010
2024-07-02 20:47:37.867678.h264,30010
2024-07-02 21:07:38.225923.h264,30010
2024-07-02 21:27:38.583585.h264,30008
2024-07-02 21:47:38.862146.h264,30008
2024-07-02 22:07:39.141315.h264,30010
2024-07-02 22:27:39.499822.h264,30010
2024-07-02 22:47:39.857558.h264,30010
2024-07-02 23:07:40.217437.h264,30010
2024-07-02 23:27:40.574807.h264,30009
2024-07-02 23:47:40.891058.h264,30010
2024-07-03 00:07:41.248605.h264,30010
2024-07-03 00:27:41.605481.h264,30010
2024-07-03 00:47:41.964733.h264,30009
2024-07-03 01:07:42.282325.h264,30010
2024-07-03 01:27:42.639184.h264,30010
2024-07-03 01:47:42.997581.h264,30010
2024-07-03 02:07:43.355463.h264,30010
2024-07-03 02:27:43.713514.h264,30010
2024-07-03 02:47:44.070269.h264,30010
2024-07-03 03:07:44.428891.h264,30008
2024-07-03 03:27:44.706108.h264,30010
2024-07-03 03:47:45.063359.h264,30010
2024-07-03 04:07:45.421908.h264,30010
2024-07-03 04:27:45.780193.h264,30010
2024-07-03 04:47:46.136750.h264,30010
2024-07-03 05:07:46.493636.h264,30009
2024-07-03 05:27:46.811645.h264,30008
2024-07-03 05:47:47.088461.h264,30010
2024-07-03 06:07:47.446926.h264,30010
2024-07-03 06:27:47.806276.h264,30010
2024-07-03 06:47:48.163106.h264,30010
2024-07-03 07:07:48.520634.h264,30010
2024-07-03 07:27:48.877369.h264,30008
2024-07-03 07:47:49.154061.h264,30010
2024-07-03 08:07:49.511977.h264,30010
2024-07-03 08:27:49.871471.h264,30010
2024-07-03 08:47:50.229387.h264,30010
2024-07-03 09:07:50.587840.h264,30010
2024-07-03 09:27:50.946911.h264,30010
2024-07-03 09:47:51.304666.h264,30008
2024-07-03 10:07:51.583100.h264,30008
2024-07-03 10:27:51.863881.h264,30008
2024-07-03 10:47:52.142464.h264,30010
2024-07-03 11:07:52.499650.h264,30010
2024-07-03 11:27:52.857335.h264,30010
2024-07-03 11:47:53.214254.h264,30010
2024-07-03 12:07:53.572547.h264,30008
2024-07-03 12:27:53.850968.h264,30010
2024-07-03 12:47:54.208624.h264,30008
2024-07-03 13:07:54.487151.h264,30009
2024-07-03 13:27:54.803935.h264,30009
2024-07-03 13:47:55.104550.h264,30004
